conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword
426688722973650944,Fri Jan 24 12:11:33 +0000 2014,7,Mahasiswa Jember Bikin Mobil Listrik http://t.co/mGY8gCYlHU via @detikoto,426688722973650944,,,in,,0,12,51,https://x.com/undefined/status/426688722973650944,69183155,,Mobil listrik
426687234150912001,Fri Jan 24 12:05:38 +0000 2014,4,Mahasiswa Jember Bikin Mobil Listrik http://t.co/KKiCOmkwzp via @detik_foto,426687234150912001,,,in,,0,4,35,https://x.com/undefined/status/426687234150912001,69183155,,Mobil listrik
426674652035825664,Fri Jan 24 11:15:38 +0000 2014,4,Mahasiswa Jember Bisa Bikin Mobil Listrik http://t.co/g3HCdFkT4C via @detikoto,426674652035825664,,,in,,0,8,68,https://x.com/undefined/status/426674652035825664,69183155,,Mobil listrik
426665784744476673,Fri Jan 24 10:40:24 +0000 2014,1,Mahasiswa Jember Bikin Mobil Listrik http://t.co/jWpJYLBYCh,426665784744476673,,,in,,0,0,8,https://x.com/undefined/status/426665784744476673,80543284,,Mobil listrik
426655859091853312,Fri Jan 24 10:00:58 +0000 2014,0,Mahasiswa Jember Bisa Bikin Mobil Listrik http://t.co/pzvjhuJBuX,426655859091853312,,,in,,0,0,3,https://x.com/undefined/status/426655859091853312,80543284,,Mobil listrik
426507146297999360,Fri Jan 24 00:10:02 +0000 2014,0,[OTO-News] Mobil Listrik LEAF Otonom Mampu Melaju Tanpa Sopir http://t.co/LIL8eJma4j,426507146297999360,,,in,,0,1,1,https://x.com/undefined/status/426507146297999360,47596019,,Mobil listrik
426177259024564224,Thu Jan 23 02:19:11 +0000 2014,4,Dokter Gigi Ini Pemilik Mobil Listrik Nissan ke 100.000 http://t.co/UYIvsTi3EX via @detikoto,426177259024564224,,,in,,0,0,16,https://x.com/undefined/status/426177259024564224,69183155,,Mobil listrik
426176832828743681,Thu Jan 23 02:17:29 +0000 2014,0,Dokter Gigi Ini Pemilik Mobil Listrik Nissan ke 100.000 http://t.co/8Gjyz8Gz2n,426176832828743681,,,in,,0,0,3,https://x.com/undefined/status/426176832828743681,80543284,,Mobil listrik
425969032039133185,Wed Jan 22 12:31:46 +0000 2014,4,Polling Kabar Hari Ini: Usaha Sewa Mobil Listrik http://t.co/QAHFgr9H9n,425969032039133185,,,in,,0,1,7,https://x.com/undefined/status/425969032039133185,55507370,,Mobil listrik
425888022278586368,Wed Jan 22 07:09:51 +0000 2014,1,Di Masa Depan Orang Terpaku dengan Mobil Listrik http://t.co/rwtvUqhwb2 via @detikoto,425888022278586368,,,in,,0,2,20,https://x.com/undefined/status/425888022278586368,69183155,,Mobil listrik
425878551393353728,Wed Jan 22 06:32:13 +0000 2014,0,Di Masa Depan Orang Terpaku dengan Mobil Listrik http://t.co/KnPzIL7112,425878551393353728,,,in,,0,0,4,https://x.com/undefined/status/425878551393353728,80543284,,Mobil listrik
425806838513147904,Wed Jan 22 01:47:16 +0000 2014,0,Stasiun Pengisian Kurang Pemilik Mobil Listrik Silicon Valley Marah http://t.co/JrMKR7rfZN,425806838513147904,,,in,,0,0,0,https://x.com/undefined/status/425806838513147904,79957943,,Mobil listrik
425067378108399616,Tue Jan 21 20:54:41 +0000 2014,0,@ricky_ruby Halo mas aku kebetulan kebetulan pengen tanya2 mengenai mobil listrik Selo. mungkin ada email? terima kasih :),425733208110415872,,,in,,0,0,0,https://x.com/undefined/status/425733208110415872,43922847,,Mobil listrik
425616706271068161,Tue Jan 21 13:11:45 +0000 2014,0,Stasiun Pengisian Kurang Pemilik Mobil Listrik Silicon Valley Marah http://t.co/jSYV9Pr6KH,425616706271068161,,,in,,0,0,0,https://x.com/undefined/status/425616706271068161,79957943,,Mobil listrik
425578452021174272,Tue Jan 21 10:39:44 +0000 2014,0,Stasiun Pengisian Kurang Pemilik Mobil Listrik Silicon Valley Marah http://t.co/RVXhT7d9fi,425578452021174272,,,in,,0,0,0,https://x.com/undefined/status/425578452021174272,79957943,,Mobil listrik
425558907663036416,Tue Jan 21 09:22:04 +0000 2014,0,Stasiun Pengisian Kurang Pemilik Mobil Listrik Silicon Valley Marah: Semakin banyaknya pemilik mobil listrik ... http://t.co/IkykTEaI2C,425558907663036416,,,in,,0,0,0,https://x.com/undefined/status/425558907663036416,79957943,,Mobil listrik
424505764242141184,Sat Jan 18 11:37:15 +0000 2014,0,OTOMOTIF TERPOPULER BMW Tunjukkan Mobil Konsep Listrik i5 http://t.co/HtnkjhBHPe via @tribunnews,424505764242141184,,,in,,0,0,6,https://x.com/undefined/status/424505764242141184,124171593,,Mobil listrik
424427676409937920,Sat Jan 18 06:26:58 +0000 2014,0,Balap Mobil Listrik Formula E Dimulai Tahun Ini http://t.co/RsZ9g29D8W,424427676409937920,,,in,,0,0,2,https://x.com/undefined/status/424427676409937920,22126902,,Mobil listrik
